text_content,dark_pattern_category
Limited time offer: only a few items left!,False Urgency
Buy now before it's too late!,False Urgency
Hurry! Sale ends in 2 hours!,False Urgency
Only 2 rooms left at this price!,Drip Pricing
Price going up in the next hour!,False Urgency
Book now to avoid price increase!,Drip Pricing
Last chance to get this deal!,False Urgency
Offer expires tonight!,False Urgency
"Price just dropped, but not for long!",False Urgency
"Deal ending soon, act fast!",False Urgency
Final sale - this is your last opportunity!,False Urgency
"Room prices are increasing daily, book now!",Drip Pricing
Grab this limited-time special offer!,False Urgency
Exclusive deal for a limited time only!,False Urgency
Discount ends in one hour!,False Urgency
"Act now, or you'll miss this low price!",False Urgency
Flash sale! Prices never this low again!,False Urgency
Price will increase after the weekend!,Drip Pricing
Special discount only available today!,False Urgency
Book today to lock in the low price!,Drip Pricing
